id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,Proto
50904,aplace/antwerp: cosy suite - fashion district,234077,Karin,M,Historisch Centrum,51.218575,4.398631,Hotel room,188,1,2,2021-10-10,0.02,4,265,1,M,Haha
116134,Spacious apartment nearby Mas,586942,Paul,M,Eilandje,51.23051,4.40593,Entire home/apt,150,2,120,2021-12-18,1.0,1,287,18,M,Haha
218916,Apartment with terrace in trendy Zurenborg,915664,Laura,M,Zurenborg,51.20633,4.42942,Entire home/apt,85,1,28,2021-09-05,0.23,1,0,7,M,Haha
224333,Large stylish room in 1930s house + garden,1167377,Geert,M,Deurne Zuid West,51.19772,4.45853,Private room,16,14,3,2021-05-13,0.02,2,328,1,M,Haha
224682,APARTMENT ROSCAM - OLD CENTRE ANTWERP,1263933,Kristien,M,Sint-Andries,51.21722,4.3979,Entire home/apt,97,2,349,2021-12-21,2.91,1,315,13,M,Haha
345959,Marleen's home in Antwerp city,1754396,Marleen,M,Markgrave,51.19935,4.40154,Entire home/apt,60,3,65,2021-12-11,0.55,2,310,10,M,Haha
363155,1-bedroom apartment with court yard,1835458,Roos,M,Amandus - Atheneum,51.22119,4.41951,Entire home/apt,68,6,22,2021-07-28,0.19,1,349,2,M,Haha
366252,ROOM IN FAMILY HOME near C. Station,1820186,Fronk & Lieve,M,Borgerhout Intra Muros Noord,51.21601,4.43432,Private room,35,1,108,2021-12-19,0.91,1,331,4,M,Haha
522693,Ahome Awayfromhome,2562294,Ahome,M,Historisch Centrum,51.22001,4.39813,Entire home/apt,282,2,2,2017-10-27,0.03,1,365,0,M,Haha
636664,"sunny rooftop apartment, sleeps 2-5",462975,Els,M,Borgerhout Intra Muros Zuid,51.21618,4.43037,Entire home/apt,120,2,91,2021-11-07,0.8,1,362,10,M,Haha
639013,The chill place in Antwerp 1,3189018,Cathy,M,Borgerhout Intra Muros Noord,51.21748,4.4456,Private room,85,2,34,2018-07-22,0.3,3,0,0,M,Haha
772842,Stay in a designers place & donate,4050173,Daisy,M,Linkeroever,51.21775,4.38434,Entire home/apt,80,2,68,2021-12-12,0.62,1,144,2,M,Haha
778043,cosy & beautiful apartment Antwerp,1735092,Marc & Elizabeth,M,Stadspark,51.20399,4.41249,Entire home/apt,88,2,74,2021-12-08,0.68,1,304,12,M,Haha
789555,+++blancoooJOZEFIEN+++ roofterrace,3185214,Annemie,M,Centraal Station,51.2117,4.42665,Entire home/apt,93,7,50,2021-10-26,0.46,4,116,2,M,Haha
791792,Duplex in the New South across of NEW PARK,3424990,Tim,M,Zuid,51.20639,4.38707,Entire home/apt,90,2,5,2021-08-27,0.05,1,329,2,M,Haha
813969,150 m² loft (terrace & river view),4277604,Sarah,M,Sint-Andries,51.21347,4.39125,Entire home/apt,261,1,85,2021-11-14,1.07,2,299,23,M,Haha
890384,+++ blancoooHOME +++,3185214,Annemie,M,Centraal Station,51.21198,4.4269,Entire home/apt,150,7,0,M,M,4,178,0,M,Haha
891884,aplace/antwerp: amazing suite & square view,234077,Karin,M,Historisch Centrum,51.218575,4.398631,Hotel room,214,1,2,2021-05-14,0.08,4,263,1,M,Haha
891907,aplace/antwerp: stunning flat with square view,234077,Karin,M,Historisch Centrum,51.218575,4.398631,Entire home/apt,233,3,6,2021-08-07,0.07,4,339,1,M,Haha
959200,"BOHEMIAN ANITA, with garden nearby central station",4715596,Caroline & Klaas,M,Borgerhout Intra Muros Noord,51.21596,4.43764,Entire home/apt,100,2,62,2021-09-27,0.63,3,275,4,M,Haha
961296,Great Classic House in Antwerp (4-10 persons),3189018,Cathy,M,Borgerhout Intra Muros Noord,51.21531,4.44498,Entire home/apt,317,1,48,2020-01-29,0.53,3,0,0,M,Haha
991824,Colourful Inspiration In Every Room,5446991,Magali,M,Deurne Zuid West,51.20316,4.46015,Entire home/apt,77,1,247,2021-11-28,2.34,2,351,17,M,Haha
1050693,Colourful Inspiration In Every Room,5446991,Magali,M,Deurne Zuid West,51.20316,4.46015,Entire home/apt,77,1,24,2021-08-03,0.24,2,351,1,M,Haha
1105318,"Number22Antwerp, cosy duplex",6068286,Frank Frédéric,M,Zuid,51.21024,4.39995,Entire home/apt,77,2,31,2021-06-27,0.3,5,324,2,M,Haha
1172376,"Number22Antwerp, Cosy & Trendy Flat",6068286,Frank Frédéric,M,Zuid,51.21026,4.40138,Entire home/apt,115,2,17,2021-09-02,0.16,5,274,1,M,Haha
1172507,"Number22Antwerp ,street Floor",6068286,Frank Frédéric,M,Zuid,51.21105,4.40132,Entire home/apt,109,1,182,2021-10-24,1.8,5,331,1,M,Haha
1172826,Bedroom in large antique house near parks+trams,1167377,Geert,M,Deurne Zuid West,51.19813,4.45807,Private room,16,7,6,2021-10-09,0.2,2,300,3,M,Haha
1184623,Luxe penthouse,4865806,Tommie,M,Eilandje,51.23133,4.41015,Entire home/apt,189,2,22,2021-11-12,0.22,2,168,1,M,Haha
